Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Sqrt_Item_Weight,log_Item_Visibility,Item_Visibility_MeanRatio,Fat_Content_Low Fat,Fat_Content_Regular,Item_Category_DR,Item_Category_FD,Item_Category_NC,NUM_OUT010,NUM_OUT013,NUM_OUT017,NUM_OUT018,NUM_OUT019,NUM_OUT027,NUM_OUT035,NUM_OUT045,NUM_OUT046,NUM_OUT049,OUT_SIZE_High,OUT_SIZE_Medium,OUT_SIZE_Small,CITY_Tier 1,CITY_Tier 2,CITY_Tier 3,Grocery Store,Supermarket Type1,Supermarket Type2,Supermarket Type3,Item_Identity,avg_Item_Sales
9.3,0.016047301,249.8092,1999,3.049590136395381,-4.132214605540694,0.9310779543761084,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,156,5198.067050000001
5.92,0.019278216,48.2692,2009,2.433105012119288,-3.9487795252013376,0.9334195208758378,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,8,862.2110000000001
17.5,0.016760075,141.618,1999,4.183300132670378,-4.088755708997878,0.8640618785143601,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,662,1478.0760000000002
19.2,0.022929862999999998,182.095,1998,4.381780460041329,-3.775315156835799,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1121,3021.0674999999997
8.93,0.014669742833333334,53.8614,1987,2.9883105594967874,-4.221968217087695,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1297,653.9265666666668
10.395,0.09129390220000001,51.4008,2009,3.2241277890307014,-2.3936712822206543,1.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,758,1214.4192
13.65,0.012741089,57.6588,1987,3.694590640382233,-4.362923153684317,0.8983184865910456,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,696,844.5672999999999
19.0,0.127469857,107.7622,1985,4.358898943540674,-2.0598753580205247,0.8704928816397633,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,738,1769.411057142857
16.2,0.016687114,96.9726,2002,4.024922359499621,-4.093118474175339,0.9241603619293528,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,440,1384.1982
19.2,0.09444959,187.8214,2007,4.381780460041329,-2.3596890259651624,0.8675847358472256,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,990,1997.2668399999998
11.8,0.12187957333333332,45.5402,1999,3.435112807463533,-2.104721825581838,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1171,721.9174285714287
18.5,0.045463773,144.1102,1997,4.301162633521313,-3.0908394679612456,0.9215068508074804,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,147,2260.0581
15.1,0.1000135,145.4786,1999,3.88587184554509,-2.302450102105725,0.9237238318116352,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1142,1816.3023999999998
17.6,0.047257328,119.6782,1997,4.195235392680607,-3.052147547120498,0.9222899062981009,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,904,1644.65916
16.35,0.06802430000000001,196.4426,1987,4.043513323831147,-2.6878902847002086,0.9110355064022716,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,375,1819.2319200000002
9.0,0.06908896099999999,56.3614,1997,3.0,-2.6723603149502786,0.913842233281208,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,767,781.5540857142857
11.8,0.008596051,115.3492,2009,3.435112807463533,-4.756452367227384,1.0031395479206202,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1280,1892.2036
